"year","quarter","quarter_total","quarter_mean","quarter_median","quarter_over_year_gross","quarter_st_dev","num_of_movies","standard_error","confidence_low_95","confidence_high_95","quarter_performance","quarter_over_year_sd"
"1998","2",1487251062,61968794.25,48807881.5,0.253300695003881,43261491.7571058,24,8830715.02637748,47443560.6102882,76494027.8897119,0.292730512754174,0.0454698864256692
"1998","3",1718100158,66080775.3076923,43081971.5,0.29261768589524,58648226.5534337,26,11501863.524368,47161893.3729347,84999657.2424499,0.236105422089755,0.0313623168870503
"1998","4",2072389729,60952639.0882353,45651238.5,0.352958402308141,41289926.9997371,34,7081164.06109239,49305160.6993091,72600117.4771615,0.316971123023708,0.0273595160024682
"1999","1",959872573,45708217.7619048,36663315,0.144730177183452,36823783.0059959,21,8035608.23807641,32490818.4067436,58925617.1170659,0.154192942132363,0.0312756382123211
"1999","2",1847898264,102661014.666667,75795212.5,0.27862723729029,101850559.359618,18,24006407.0636096,63173988.938015,142148040.395318,0.292730512754174,0.0454698864256692
"1999","3",1801426712,72057068.48,55691208,0.271620228084965,61693812.6353585,25,12338762.5270717,51761610.1852532,92352526.7747468,0.236105422089755,0.0313623168870503
"1999","4",2022954720,56193186.6666667,38146761,0.305022357441293,47150531.7522781,36,7858421.95871302,43267232.8057625,69119140.5275709,0.316971123023708,0.0273595160024682
"2000","1",1043246995,49678428.3333333,50863742,0.150086251022486,24190519.384557,21,5278804.1038109,40995568.2572137,58361288.409453,0.154192942132363,0.0312756382123211
"2000","2",1928178664,77127146.56,61335230,0.277396540194496,56114898.998827,25,11222979.7997654,58666987.5311528,95587305.5888472,0.292730512754174,0.0454698864256692
"2000","3",1523151140,66223962.6086956,44737059,0.219127440998021,45379040.4815009,23,9462184.03647245,50660054.8774216,81787870.3399697,0.236105422089755,0.0313623168870503
"2000","4",2456406305,79238913.0645161,51804714,0.353389767784997,61354288.6109347,31,11019555.5366048,61113357.1727385,97364468.9562938,0.316971123023708,0.0273595160024682
"2001","1",954113964,53006331.3333333,38521374,0.12999466094631,37587156.9977777,18,8859377.86621734,38433951.5175522,67578711.1491145,0.154192942132363,0.0312756382123211
"2001","2",1891857310,82254665.6521739,57743062,0.257758882954834,65849334.0784348,23,13730535.3114134,59669944.8452103,104839386.459137,0.292730512754174,0.0454698864256692
"2001","3",1796173878,78094516.4347826,56618055,0.244722352969597,57296130.0606359,23,11947068.9873314,58443336.679531,97745696.1900342,0.236105422089755,0.0313623168870503
"2001","4",2697494469,74930401.9166667,44575920.5,0.367524103129259,77062508.1220903,36,12843751.3536817,53804310.9189004,96056492.9144329,0.316971123023708,0.0273595160024682
"2002","1",1365527535,54621101.4,41076018,0.16849244570376,32240111.5143549,25,6448022.30287098,44015048.5284587,65227154.2715413,0.154192942132363,0.0312756382123211
"2002","2",2579104797,103164191.88,69599016,0.318235746870405,92258670.9831461,25,18451734.1966292,72813789.9631299,133514593.79687,0.292730512754174,0.0454698864256692
"2002","3",1668559014,79455191.1428571,50547998,0.205883500598846,64219190.7907464,21,14013776.3270193,56404580.3240727,102505801.961642,0.236105422089755,0.0313623168870503
"2002","4",2491192974,85903206,56399184,0.307388306826989,75968000.0372718,29,14106903.4575555,62699414.6827856,109106997.317214,0.316971123023708,0.0273595160024682
"2003","1",1139789165,54275674.5238095,46961214,0.140570294632201,28339971.7593399,21,6184288.84667076,44103424.5842476,64447924.4633715,0.154192942132363,0.0312756382123211
"2003","2",2233129276,106339489.333333,67406573,0.275412023485163,91222833.2781006,21,19906454.2192968,73596285.9109796,139082692.755687,0.292730512754174,0.0454698864256692
"2003","3",2002325705,80093028.2,58331254,0.246946999449218,59781959.1276111,25,11956391.8255222,60426513.7405369,99759542.6594631,0.236105422089755,0.0313623168870503
"2003","4",2733077516,82820530.7878788,66809693,0.337070682433417,63948502.6632539,33,11132005.4454959,64510011.2556113,101131050.320146,0.316971123023708,0.0273595160024682
"2004","1",1364183425,71799127.631579,57938693,0.163887121195282,76967367.3491212,19,17657525.0644838,42755083.4862763,100843171.776882,0.154192942132363,0.0312756382123211
"2004","2",2826139097,100933539.178571,68519971.5,0.339520179043932,100479798.632868,28,18988897.0691726,69699582.9625348,132167495.394608,0.292730512754174,0.0454698864256692
"2004","3",1437900323,68471443.952381,53710019,0.172743151825229,39488848.1371994,21,8617173.12834915,54297455.4781471,82645432.4266148,0.236105422089755,0.0313623168870503
"2004","4",2695698004,84240562.625,59573190.5,0.323849547935556,63757190.7908705,32,11270785.4894073,65701770.2341565,102779355.015844,0.316971123023708,0.0273595160024682
"2005","1",1286380584,67704241.2631579,56046979,0.167115324214843,37375276.0056255,19,8574476.37344538,53600482.7010866,81807999.8252292,0.154192942132363,0.0312756382123211
"2005","2",2375166049,98965252.0416667,65628592.5,0.308560817288207,84904556.7987521,24,17331070.0828412,70458178.5569551,127472325.526378,0.292730512754174,0.0454698864256692
"2005","3",1650026244,68751093.5,48112922.5,0.214356990581769,52276644.2583824,24,10670925.3248361,51198983.2765151,86303203.7234849,0.236105422089755,0.0313623168870503
"2005","4",2385989211,72302703.3636364,47403685,0.309966867915181,69057950.4408327,33,12021446.1378449,52529184.0826004,92076222.6446723,0.316971123023708,0.0273595160024682
"2006","1",1455698024,63291218.4347826,54098051,0.18453509052605,33147254.5159226,23,6911680.35298833,51922515.9378405,74659920.9317247,0.154192942132363,0.0312756382123211
"2006","2",2313816039,100600697.347826,71726025,0.293316501896613,68828133.5456943,23,14351657.9369225,76994320.7375122,124207073.95814,0.292730512754174,0.0454698864256692
"2006","3",1726117719,75048596.4782609,58645052,0.218815499013334,80049767.2434758,23,16691530.3121786,47593472.3049035,102503720.651618,0.236105422089755,0.0313623168870503
"2006","4",2392830081,77188067.1290323,59952835,0.303332908564003,54479154.7583025,31,9784745.04452834,61093593.7537444,93282540.5043201,0.316971123023708,0.0273595160024682
"2007","1",1500711954,68214179.7272727,47428093,0.176354078095533,48542434.5789623,22,10349281.8258801,51191125.9796309,85237233.4749146,0.154192942132363,0.0312756382123211
"2007","2",2289183844,109008754.47619,71985628,0.269010255648173,102827177.910567,21,22438729.822565,72100328.3433602,145917180.609021,0.292730512754174,0.0454698864256692
"2007","3",2206467577,91936149.0416667,49092728.5,0.259289968572823,84889376.2150536,24,17327971.3591697,63434172.5038252,120438125.579508,0.236105422089755,0.0313623168870503
"2007","4",2513289309,76160282.0909091,52898073,0.295345697683471,59251418.3364728,33,10314348.0160636,59194689.3470471,93125874.8347711,0.316971123023708,0.0273595160024682
"2008","1",1308707109,59486686.7727273,51814104,0.154158080145842,29593010.3037806,22,6309250.99588498,49108892.3887987,69864481.1566559,0.154192942132363,0.0312756382123211
"2008","2",2525355378,109798059.913043,64506874,0.297472164765673,86144745.3820208,23,17962421.107428,80252506.4056609,139343613.420426,0.292730512754174,0.0454698864256692
"2008","3",2062085447,93731156.6818182,54296368,0.242901663343986,109211470.277843,22,23283963.6974856,55432444.5442026,132029868.819434,0.236105422089755,0.0313623168870503
"2008","4",2593235871,81038620.96875,68623047,0.305468091744499,50022705.5064035,32,8842848.5692189,66493429.4270877,95583812.5104123,0.316971123023708,0.0273595160024682
"2009","1",1754434219,70177368.76,58715510,0.177867719375088,41841839.6306317,25,8368367.92612633,56412628.4250467,83942109.0949533,0.154192942132363,0.0312756382123211
"2009","2",2808211633,122096157.956522,68261644,0.284701582581423,102518856.828804,23,21376659.3614592,86934682.2737195,157257633.639324,0.292730512754174,0.0454698864256692
"2009","3",2055716499,89378978.2173913,66477700,0.208412262710701,64069041.2653705,23,13359318.5986473,67404854.5668061,111353101.867977,0.236105422089755,0.0313623168870503
"2009","4",3245339872,111908271.448276,72091016,0.329018435332788,143254137.128433,29,26601625.4393261,68152491.3615959,155664051.534956,0.316971123023708,0.0273595160024682
"2010","1",1797024696,78131508.5217391,60022256,0.192854981570312,69986886.6953713,23,14593274.6709642,54127707.7501046,102135309.293374,0.154192942132363,0.0312756382123211
"2010","2",2758431276,125383239.818182,83990887.5,0.296032221527105,104273691.783219,22,22231225.7852265,88816127.453775,161950352.182589,0.292730512754174,0.0454698864256692
"2010","3",2040785707,75584655.8148148,55675313,0.219015181476638,64283963.4630582,27,12371454.5366576,55235423.9495284,95933887.6801013,0.236105422089755,0.0313623168870503
